"Node ID","openEHR Name","EHDS Name","openEHR Description","openEHR Comment","EHDS Definition","openEHR Cardinality","openEHR Datatype","openEHR Values","EHDS Cardinality","EHDS Binding","Concept Map","openEHR Path","EHDS Path","MappingNotes"
"","Anatomical location","EHDSBodyStructure","A physical site on or within the human body.","","EHDS refined base model for Body structure","1..1","Cluster","","0..*","","","/","EHDSBodyStructure",""
"","Body site name","location","Identification of a single physical site either on or within the human body.","This data element is the only mandated data point in this archetype and should be used as the primary data point to record an anatomical location with a commonly used name. It is strongly recommended that 'Body site name' be recorded as specifically as is anatomically possible. For example: record 'upper eyelid' rather than recording 'eyelid' with 'upper' as a qualifier; 'fifth rib' rather than 'rib' with a numeric qualifier. Use the other data elements for laterality aspect region and anatomical line to provide more detail.

This data element should be coded with a terminology capable of triggering decision support where possible - an appropriate termset for use here could comprise individual concepts or a list of precoordinated terms. Free text should be used only if there is no appropriate terminology available.

If 'Body site name' is already identified in an archetype in which this Anatomical location archetype has been nested then this data element may be redundant. However it might be reasonable to duplicate 'Body site name' in this archetype to support semantic querying using this archetype instead of the archetype in which it has been nested.","Body site","1..1","Text","","0..1","SNOMED CT","","/items[at0001]/value","EHDSBodyStructure.location",""
"","Specific site","locationQualifier","Additional detail using a specific region or a point on or within the identified body site.","Use to increase precision of identification of the body site if required. For example the upper right quadrant or McBurney's point on the abdominal wall or interphalangeal joint of the great toe. If the 'Body site name' data element uses pre-coordinated terms that include the specific site then this data element is redundant.
In most situations this will be a single specific site. This data element has multiple occurrences to support less common use cases which need to identify a single anatomical location involving two or more adjacent and continuous specific sites. For example to describe the specific site of a single tumour extending across the 2nd 3rd and 4th ribs.","Additional qualifier of the body structure (e.g. upper lower left side).","0..*","Text","","0..*","SNOMED CT","","/items[at0065]/value","EHDSBodyStructure.locationQualifier",""
"","Laterality","laterality","The side of the body on which the identified body site is located.","If the 'Body site name' includes a pre-coordinated term that already specifies laterality this data element may be redundant. If the findings require documentation of a body site on both the left and right sides of the body or involving both sides of a paired structure or region use 'Left and right' only when the same anatomical site is affected on both sides and side-specific detail is not required. If the findings differ significantly between sides each should be recorded as a separate instance of this archetype with the appropriate laterality.","Body structure laterality (e.g. left right).","0..1","CodedText"," Left local:at0003
 Right local:at0004
 Left and right local:at0083","0..1","SNOMED CT","","/items[at0002]/value","EHDSBodyStructure.laterality",""
"","Description","description","Narrative description that can be used to further refine and support the 'Body site name'.","For example: adjacent to the vermilion border; a tattoo covers the bottom half of this area.","Textual description of the body structure","0..1","Text","","0..1","","","/items[at0023]/value","EHDSBodyStructure.description",""
